Customer ID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
1,288,3,6290,2,1,1,211,Regular Customers
2,72,6,16481,4,3,3,433,Loyal Customers
3,222,4,9423,2,2,2,222,Regular Customers
4,441,5,7826,1,2,1,121,Lost Customers
5,424,5,9769,1,2,2,122,Lost Customers
6,140,9,25428,3,4,4,344,Loyal Customers
7,141,8,17825,3,4,3,343,Loyal Customers
8,25,7,16245,4,4,3,443,Loyal Customers
9,140,7,24621,3,4,4,344,Loyal Customers
10,130,8,20672,3,4,4,344,Loyal Customers
11,102,8,17730,3,4,3,343,Loyal Customers
12,113,7,16756,3,4,3,343,Loyal Customers
13,258,5,13798,2,2,3,223,Regular Customers
14,263,5,14119,2,2,3,223,Regular Customers
15,81,5,16533,3,2,3,323,Potential Loyalists
16,104,3,7196,3,1,1,311,Regular Customers
17,102,8,22968,3,4,4,344,Loyal Customers
18,426,2,4859,1,1,1,111,Lost Customers
19,517,5,12232,1,2,2,122,Lost Customers
20,76,4,17443,4,2,3,423,Potential Loyalists
21,265,5,10598,2,2,2,222,Regular Customers
22,13,5,14137,4,2,3,423,Potential Loyalists
23,134,7,18733,3,4,4,344,Loyal Customers
24,144,4,11413,3,2,2,322,Regular Customers
25,353,3,9876,2,1,2,212,Regular Customers
26,184,3,9845,3,1,2,312,Regular Customers
27,238,4,12554,2,2,2,222,Regular Customers
28,308,4,16765,2,2,3,223,Regular Customers
29,571,5,13240,1,2,3,123,Lost Customers
30,57,4,8047,4,2,1,421,Regular Customers
31,153,6,16430,3,3,3,333,Loyal Customers
32,863,5,11953,1,2,2,122,Lost Customers
33,486,7,24987,1,4,4,144,At Risk
34,300,1,658,2,1,1,211,Regular Customers
35,269,8,24174,2,4,4,244,At Risk
36,25,4,11107,4,2,2,422,Regular Customers
37,32,8,15557,4,4,3,443,Loyal Customers
38,236,4,11437,2,2,2,222,Regular Customers
39,472,7,20951,1,4,4,144,At Risk
40,277,6,16453,2,3,3,233,At Risk
41,234,7,25741,2,4,4,244,At Risk
42,19,6,18931,4,3,4,434,Loyal Customers
43,120,5,17364,3,2,3,323,Potential Loyalists
44,68,4,11927,4,2,2,422,Regular Customers
45,20,7,23309,4,4,4,444,Champions
46,145,8,22536,3,4,4,344,Loyal Customers
47,240,8,18507,2,4,4,244,At Risk
48,24,3,11983,4,1,2,412,Regular Customers
49,795,2,6868,1,1,1,111,Lost Customers
50,198,4,11595,2,2,2,222,Regular Customers
51,319,11,29769,2,4,4,244,At Risk
52,82,8,18753,3,4,4,344,Loyal Customers
53,170,4,8902,3,2,2,322,Regular Customers
54,120,5,15001,3,2,3,323,Potential Loyalists
55,271,5,15117,2,2,3,223,Regular Customers
56,539,4,11599,1,2,2,122,Lost Customers
57,323,5,17134,2,2,3,223,Regular Customers
58,156,4,6959,3,2,1,321,Regular Customers
59,56,7,26988,4,4,4,444,Champions
60,292,8,19803,2,4,4,244,At Risk
61,87,4,6388,3,2,1,321,Regular Customers
62,486,3,11855,1,1,2,112,Lost Customers
63,363,6,23109,2,3,4,234,At Risk
64,706,3,6620,1,1,1,111,Lost Customers
65,66,6,12404,4,3,2,432,Loyal Customers
66,47,6,18045,4,3,4,434,Loyal Customers
67,295,2,5269,2,1,1,211,Regular Customers
68,835,3,10642,1,1,2,112,Lost Customers
69,225,3,8622,2,1,1,211,Regular Customers
70,5,9,24074,4,4,4,444,Champions
71,429,2,2540,1,1,1,111,Lost Customers
72,165,7,17152,3,4,3,343,Loyal Customers
73,570,2,5460,1,1,1,111,Lost Customers
74,131,5,9391,3,2,2,322,Regular Customers
75,208,3,7176,2,1,1,211,Regular Customers
76,102,2,8123,3,1,1,311,Regular Customers
77,778,2,4495,1,1,1,111,Lost Customers
78,598,4,10920,1,2,2,122,Lost Customers
79,790,3,7066,1,1,1,111,Lost Customers
80,349,10,22648,2,4,4,244,At Risk
81,346,5,12760,2,2,2,222,Regular Customers
82,98,4,6949,3,2,1,321,Regular Customers
83,158,8,16211,3,4,3,343,Loyal Customers
84,69,3,2557,4,1,1,411,Regular Customers
85,253,7,16901,2,4,3,243,At Risk
86,272,6,12123,2,3,2,232,At Risk
87,243,2,5436,2,1,1,211,Regular Customers
88,418,5,11135,1,2,2,122,Lost Customers
89,1,7,18361,4,4,4,444,Champions
90,0,6,14780,4,3,3,433,Loyal Customers
91,91,6,14816,3,3,3,333,Loyal Customers
92,263,3,11784,2,1,2,212,Regular Customers
93,297,3,10025,2,1,2,212,Regular Customers
94,87,6,15378,3,3,3,333,Loyal Customers
95,108,4,9736,3,2,2,322,Regular Customers
96,1,7,22981,4,4,4,444,Champions
97,233,3,6636,2,1,1,211,Regular Customers
98,221,6,20950,2,3,4,234,At Risk
99,659,4,11211,1,2,2,122,Lost Customers
100,22,8,19950,4,4,4,444,Champions
101,121,8,27360,3,4,4,344,Loyal Customers
102,963,1,1259,1,1,1,111,Lost Customers
103,88,7,24077,3,4,4,344,Loyal Customers
104,541,4,13848,1,2,3,123,Lost Customers
105,214,4,7530,2,2,1,221,Regular Customers
106,55,3,8311,4,1,1,411,Regular Customers
107,300,4,8393,2,2,1,221,Regular Customers
108,261,11,31386,2,4,4,244,At Risk
109,107,5,18510,3,2,4,324,Potential Loyalists
110,458,3,3558,1,1,1,111,Lost Customers
111,321,5,9692,2,2,2,222,Regular Customers
112,559,2,4378,1,1,1,111,Lost Customers
113,331,4,7328,2,2,1,221,Regular Customers
114,694,5,11568,1,2,2,122,Lost Customers
115,198,7,13470,2,4,3,243,At Risk
116,35,4,11725,4,2,2,422,Regular Customers
117,28,6,22130,4,3,4,434,Loyal Customers
118,212,6,17754,2,3,3,233,At Risk
119,434,6,18014,1,3,4,134,At Risk
120,258,5,10470,2,2,2,222,Regular Customers
121,498,5,13615,1,2,3,123,Lost Customers
122,141,5,18104,3,2,4,324,Potential Loyalists
123,26,3,12829,4,1,2,412,Regular Customers
124,707,2,2308,1,1,1,111,Lost Customers
125,36,6,17497,4,3,3,433,Loyal Customers
126,613,3,12680,1,1,2,112,Lost Customers
127,951,1,3872,1,1,1,111,Lost Customers
128,381,2,3931,1,1,1,111,Lost Customers
129,192,6,14527,2,3,3,233,At Risk
130,164,4,15849,3,2,3,323,Potential Loyalists
131,542,4,6668,1,2,1,121,Lost Customers
132,244,3,10091,2,1,2,212,Regular Customers
133,6,8,25725,4,4,4,444,Champions
134,185,4,12344,3,2,2,322,Regular Customers
135,252,6,13476,2,3,3,233,At Risk
136,369,8,22890,2,4,4,244,At Risk
137,494,8,24134,1,4,4,144,At Risk
138,231,2,2907,2,1,1,211,Regular Customers
139,66,7,15036,4,4,3,443,Loyal Customers
140,136,3,8230,3,1,1,311,Regular Customers
141,328,9,26395,2,4,4,244,At Risk
142,465,2,4184,1,1,1,111,Lost Customers
143,178,8,22505,3,4,4,344,Loyal Customers
144,52,6,17553,4,3,3,433,Loyal Customers
145,142,10,26432,3,4,4,344,Loyal Customers
146,793,2,9457,1,1,2,112,Lost Customers
147,146,7,14477,3,4,3,343,Loyal Customers
148,73,2,6506,4,1,1,411,Regular Customers
149,201,6,17913,2,3,3,233,At Risk
150,21,1,1743,4,1,1,411,Regular Customers
151,66,8,10760,4,4,2,442,Loyal Customers
152,269,4,14097,2,2,3,223,Regular Customers
153,399,7,18398,1,4,4,144,At Risk
154,8,11,31167,4,4,4,444,Champions
155,28,6,17420,4,3,3,433,Loyal Customers
156,113,5,16715,3,2,3,323,Potential Loyalists
157,43,8,23819,4,4,4,444,Champions
158,338,4,7295,2,2,1,221,Regular Customers
159,82,3,4391,3,1,1,311,Regular Customers
160,902,2,8840,1,1,2,112,Lost Customers
161,67,5,18246,4,2,4,424,Potential Loyalists
162,976,4,13299,1,2,3,123,Lost Customers
163,643,4,9704,1,2,2,122,Lost Customers
164,992,4,7890,1,2,1,121,Lost Customers
165,169,6,14544,3,3,3,333,Loyal Customers
166,357,9,29342,2,4,4,244,At Risk
167,468,4,8508,1,2,1,121,Lost Customers
169,176,8,15868,3,4,3,343,Loyal Customers
170,43,8,24385,4,4,4,444,Champions
171,429,1,4206,1,1,1,111,Lost Customers
172,451,6,10493,1,3,2,132,At Risk
173,158,5,15597,3,2,3,323,Potential Loyalists
174,39,2,3347,4,1,1,411,Regular Customers
175,224,4,10189,2,2,2,222,Regular Customers
176,16,7,13361,4,4,3,443,Loyal Customers
177,91,4,12377,3,2,2,322,Regular Customers
178,149,9,21604,3,4,4,344,Loyal Customers
179,9,5,20456,4,2,4,424,Potential Loyalists
180,60,1,473,4,1,1,411,Regular Customers
181,237,3,7779,2,1,1,211,Regular Customers
182,33,7,17243,4,4,3,443,Loyal Customers
183,262,3,5468,2,1,1,211,Regular Customers
184,98,9,26985,3,4,4,344,Loyal Customers
185,168,9,24331,3,4,4,344,Loyal Customers
186,396,3,9097,1,1,2,112,Lost Customers
187,543,1,2670,1,1,1,111,Lost Customers
188,63,4,7701,4,2,1,421,Regular Customers
189,616,2,6569,1,1,1,111,Lost Customers
190,1076,1,4361,1,1,1,111,Lost Customers
191,1143,2,4200,1,1,1,111,Lost Customers
192,43,8,28832,4,4,4,444,Champions
193,82,5,12514,3,2,2,322,Regular Customers
194,19,6,10066,4,3,2,432,Loyal Customers
195,168,6,18840,3,3,4,334,Loyal Customers
196,441,5,13926,1,2,3,123,Lost Customers
197,181,4,10354,3,2,2,322,Regular Customers
198,137,7,17553,3,4,3,343,Loyal Customers
199,308,6,14136,2,3,3,233,At Risk
200,97,8,20775,3,4,4,344,Loyal Customers
201,13,2,3149,4,1,1,411,Regular Customers
202,170,6,15209,3,3,3,333,Loyal Customers
203,436,3,6566,1,1,1,111,Lost Customers
204,76,12,29420,4,4,4,444,Champions
205,146,11,23103,3,4,4,344,Loyal Customers
206,33,6,18103,4,3,4,434,Loyal Customers
207,213,8,21171,2,4,4,244,At Risk
208,324,8,21596,2,4,4,244,At Risk
209,5,7,17402,4,4,3,443,Loyal Customers
210,19,7,19595,4,4,4,444,Champions
211,131,10,20362,3,4,4,344,Loyal Customers
212,114,6,15762,3,3,3,333,Loyal Customers
213,301,6,10744,2,3,2,232,At Risk
214,205,3,11660,2,1,2,212,Regular Customers
215,378,4,11725,1,2,2,122,Lost Customers
216,92,8,26535,3,4,4,344,Loyal Customers
217,118,5,8551,3,2,1,321,Regular Customers
218,488,8,21620,1,4,4,144,At Risk
219,17,6,13360,4,3,3,433,Loyal Customers
220,207,4,7400,2,2,1,221,Regular Customers
221,258,6,21964,2,3,4,234,At Risk
222,139,4,10799,3,2,2,322,Regular Customers
223,27,4,10202,4,2,2,422,Regular Customers
224,74,6,16799,4,3,3,433,Loyal Customers
225,2,3,7280,4,1,1,411,Regular Customers
226,41,5,12910,4,2,2,422,Regular Customers
227,311,4,9489,2,2,2,222,Regular Customers
228,128,4,7175,3,2,1,321,Regular Customers
229,329,6,18119,2,3,4,234,At Risk
230,43,10,29553,4,4,4,444,Champions
231,277,6,15841,2,3,3,233,At Risk
232,289,6,23483,2,3,4,234,At Risk
233,383,5,15177,1,2,3,123,Lost Customers
234,64,4,7910,4,2,1,421,Regular Customers
235,376,4,14572,1,2,3,123,Lost Customers
236,87,10,22060,3,4,4,344,Loyal Customers
237,393,7,17112,1,4,3,143,At Risk
238,26,8,25783,4,4,4,444,Champions
239,239,7,20511,2,4,4,244,At Risk
240,180,4,7011,3,2,1,321,Regular Customers
241,206,3,3491,2,1,1,211,Regular Customers
242,160,3,5090,3,1,1,311,Regular Customers
243,92,7,19370,3,4,4,344,Loyal Customers
244,303,7,15342,2,4,3,243,At Risk
245,654,3,7939,1,1,1,111,Lost Customers
246,114,3,11308,3,1,2,312,Regular Customers
247,626,5,8715,1,2,1,121,Lost Customers
248,213,6,24306,2,3,4,234,At Risk
249,1205,1,2240,1,1,1,111,Lost Customers
250,96,7,22091,3,4,4,344,Loyal Customers
251,35,8,24661,4,4,4,444,Champions
252,650,5,10043,1,2,2,122,Lost Customers
253,46,8,23104,4,4,4,444,Champions
254,401,4,12119,1,2,2,122,Lost Customers
255,659,5,12999,1,2,2,122,Lost Customers
256,136,3,7389,3,1,1,311,Regular Customers
257,467,4,12211,1,2,2,122,Lost Customers
258,69,6,17437,4,3,3,433,Loyal Customers
259,189,4,17652,2,2,3,223,Regular Customers
260,86,6,12523,3,3,2,332,Loyal Customers
261,77,8,20949,4,4,4,444,Champions
262,139,8,22365,3,4,4,344,Loyal Customers
263,70,8,20142,4,4,4,444,Champions
264,189,10,33074,2,4,4,244,At Risk
265,83,5,18780,3,2,4,324,Potential Loyalists
266,38,7,10856,4,4,2,442,Loyal Customers
267,25,5,16595,4,2,3,423,Potential Loyalists
268,405,3,5628,1,1,1,111,Lost Customers
269,183,7,21577,3,4,4,344,Loyal Customers
270,4,6,17030,4,3,3,433,Loyal Customers
271,55,5,19721,4,2,4,424,Potential Loyalists
272,540,3,8898,1,1,2,112,Lost Customers
273,220,6,16602,2,3,3,233,At Risk
274,472,6,17449,1,3,3,133,At Risk
275,27,3,5288,4,1,1,411,Regular Customers
276,283,5,9196,2,2,2,222,Regular Customers
277,140,7,15709,3,4,3,343,Loyal Customers
278,5,10,31691,4,4,4,444,Champions
279,349,4,5772,2,2,1,221,Regular Customers
280,372,5,6532,1,2,1,121,Lost Customers
281,207,2,6795,2,1,1,211,Regular Customers
282,107,8,26379,3,4,4,344,Loyal Customers
283,216,6,21425,2,3,4,234,At Risk
284,257,3,7773,2,1,1,211,Regular Customers
285,323,9,28106,2,4,4,244,At Risk
286,450,2,7637,1,1,1,111,Lost Customers
287,887,1,2295,1,1,1,111,Lost Customers
288,80,5,16691,3,2,3,323,Potential Loyalists
289,264,6,14827,2,3,3,233,At Risk
290,350,4,10409,2,2,2,222,Regular Customers
291,252,4,12458,2,2,2,222,Regular Customers
292,317,4,5470,2,2,1,221,Regular Customers
293,106,5,13042,3,2,3,323,Potential Loyalists
294,186,3,10651,3,1,2,312,Regular Customers
295,121,2,2904,3,1,1,311,Regular Customers
296,567,6,16269,1,3,3,133,At Risk
297,45,11,27103,4,4,4,444,Champions
298,76,5,10434,4,2,2,422,Regular Customers
299,512,5,17284,1,2,3,123,Lost Customers
300,129,6,11344,3,3,2,332,Loyal Customers
301,109,3,9117,3,1,2,312,Regular Customers
302,45,7,19850,4,4,4,444,Champions
303,169,4,14014,3,2,3,323,Potential Loyalists
304,141,7,16462,3,4,3,343,Loyal Customers
305,176,5,12211,3,2,2,322,Regular Customers
306,435,4,11545,1,2,2,122,Lost Customers
307,864,1,4972,1,1,1,111,Lost Customers
308,13,3,9405,4,1,2,412,Regular Customers
309,335,3,7314,2,1,1,211,Regular Customers
310,18,3,13092,4,1,3,413,Potential Loyalists
311,398,7,15544,1,4,3,143,At Risk
312,542,3,6864,1,1,1,111,Lost Customers
313,16,9,27974,4,4,4,444,Champions
314,74,4,9955,4,2,2,422,Regular Customers
315,126,11,32676,3,4,4,344,Loyal Customers
316,175,3,2748,3,1,1,311,Regular Customers
317,334,3,14315,2,1,3,213,Regular Customers
318,104,9,25467,3,4,4,344,Loyal Customers
319,169,5,16758,3,2,3,323,Potential Loyalists
320,95,5,12356,3,2,2,322,Regular Customers
321,670,4,8310,1,2,1,121,Lost Customers
322,299,5,16585,2,2,3,223,Regular Customers
323,246,3,7726,2,1,1,211,Regular Customers
324,1,5,13370,4,2,3,423,Potential Loyalists
325,434,8,23078,1,4,4,144,At Risk
326,170,5,13314,3,2,3,323,Potential Loyalists
327,42,6,18548,4,3,4,434,Loyal Customers
328,392,6,9666,1,3,2,132,At Risk
329,582,8,28031,1,4,4,144,At Risk
330,383,9,26298,1,4,4,144,At Risk
331,294,5,14475,2,2,3,223,Regular Customers
332,21,6,16503,4,3,3,433,Loyal Customers
333,142,4,11409,3,2,2,322,Regular Customers
334,81,5,9034,3,2,2,322,Regular Customers
335,134,6,20173,3,3,4,334,Loyal Customers
